scenario,seed,window_start,window_end,attack_label,legal_mbps,aggregate_mbps,attacker_mbps,burst_rate,burst_loss_rate,rate_cv,active_sources
S0,808,3.5,3.75,0,69.334784,69.334784,0.0,0.0,0.0,0.0,0
S0,808,3.75,4.0,0,69.308608,69.308608,0.0,0.0,0.0,0.0,0
S0,808,4.0,4.25,0,69.240608,69.240608,0.0,0.0,0.0,0.0,0
S0,808,4.25,4.5,0,69.252448,69.252448,0.0,0.0,0.0,0.0,0
S0,808,4.5,4.75,0,69.339456,69.339456,0.0,0.0,0.0,0.0,0
S0,808,4.75,5.0,0,69.248896,69.248896,0.0,0.0,0.0,0.0,0
S1,101,0.0,0.25,0,70.011264,70.011264,0.0,0.0,0.0,0.0,0
S1,101,0.25,0.5,0,69.94464,69.94464,0.0,0.0,0.0,0.0,0
S1,101,0.5,0.75,0,69.995712,69.995712,0.0,0.0,0.0,0.0,0
S1,101,0.75,1.0,0,69.980928,69.980928,0.0,0.0,0.0,0.0,0
S1,101,1.0,1.25,1,43.940384,156.964384,113.024,1000.0,0.004,0.0,1
S1,101,1.25,1.5,1,43.952416,156.976416,113.024,1000.0,0.0,0.0,1
S1,101,1.5,1.75,1,44.011968,157.035968,113.024,1000.0,0.004,0.0,1
S1,101,1.75,2.0,1,43.97984,157.00384,113.024,1000.0,0.0,0.0,1
S1,101,2.0,2.25,1,43.967872,156.991872,113.024,1000.0,0.0,0.0,1
S1,101,2.25,2.5,1,43.963648,156.987648,113.024,1000.0,0.004,0.0,1
S1,101,2.5,2.75,1,43.91424,156.93824,113.024,1000.0,0.0,0.0,1
S1,101,2.75,3.0,1,43.987936,157.011936,113.024,1000.0,0.0,0.0,1
S1,101,3.0,3.25,1,43.901824,156.925824,113.024,1000.0,0.0,0.0,1
S1,101,3.25,3.5,1,43.950048,156.974048,113.024,1000.0,0.004,0.0,1
S1,101,3.5,3.75,1,43.965824,156.989824,113.024,1000.0,0.0,0.0,1
S1,101,3.75,4.0,1,43.9896,157.0136,113.024,1000.0,0.0,0.0,1
S1,101,4.0,4.25,1,43.944256,156.968256,113.024,1000.0,0.004,0.0,1
S1,101,4.25,4.5,1,43.944768,156.968768,113.024,1000.0,0.004,0.0,1
S1,101,4.5,4.75,0,70.015712,70.015712,0.0,0.0,0.0,0.0,0
S1,101,4.75,5.0,0,69.98608,69.98608,0.0,0.0,0.0,0.0,0
S1,202,0.0,0.25,0,70.01296,70.01296,0.0,0.0,0.0,0.0,0
